artist,artist_id,followers,genres,popularity,type
Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,12871841.0,,75.0,artist
ZAYN,5ZsFI1h6hIdQRw2ti0hz81,24139025.0,,78.0,artist
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,7928919.0,r&b,80.0,artist
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,7769858.0,,77.0,artist
Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,12281517.0,,73.0,artist
Yandel,6V394G6torkxVfqL39qEgK,729.0,"koplo, dangdut, sholawat",7.0,artist
A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,71594544.0,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi",81.0,artist
Mora,1TfSVLC8KtuIo6uWNqCbqU,244.0,,5.0,artist
Miguel,360IAlyVv4PCEVjgyMZrxK,6149102.0,r&b,79.0,artist
Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,11960746.0,"latin pop, latin",78.0,artist
Zion & Lennox,21451j1KhjAiaYKflxBjr1,8382734.0,"reggaeton, latin",77.0,artist
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,3279471.0,tropical house,76.0,artist
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,15739303.0,"classic rock, rock",77.0,artist
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,10933253.0,,78.0,artist
Tame Impala,5INjqkS1o8h1imAzPqGZBb,9585998.0,"neo-psychedelic, indie",85.0,artist
Lauv,5JZ7CnR6gTvEMKX4g70Amv,6823283.0,,73.0,artist
Michael BublÃ©,1GxkXlMwML1oSg5eLPiAz3,6903375.0,christmas,76.0,artist
Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,9064905.0,"reggaeton, urbano latino",80.0,artist
System Of A Down,5eAWCfyUhZtHHtBdNk56l1,14044095.0,"nu metal, metal, alternative metal, rap metal, rock",81.0,artist
TWICE,7n2Ycct7Beij7Dj7meI4X0,23425320.0,k-pop,83.0,artist
ABBA,0LcJLqbBmaGUft1e9Mm8HV,14935204.0,,80.0,artist
Luis R Conriquez,0pePYDrJGk8gqMRbXrLJC8,9250889.0,"corrido, corridos bélicos, corridos tumbados, electro corridos, dembow belico, banda, sierreño, sad sierreño, música mexicana",82.0,artist
John Legend,5y2Xq6xcjJb2jVM54GHK3t,8101241.0,"soft pop, neo soul",74.0,artist
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,15745007.0,,74.0,artist
Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,23343588.0,"sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró",78.0,artist
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,17456052.0,dream pop,84.0,artist
Chance the Rapper,1anyVhU62p31KFi8MEzkbf,6032491.0,,74.0,artist
