Rank,Artist,Daily Streams,Peak Daily,Monthly Listeners
Rex Orange County,"7,130.2",2.627,"6,412.1","5,727.5"
Vicente FernÃ¡ndez,"7,111.0",5.466,"6,899.9","6,794.7"
Noriel,"7,107.1",4.675,748.9,182.9
Deftones,"7,098.0",6.455,"7,098.0","7,075.6"
Wesley SafadÃ£o,"7,097.6",2.849,"4,916.6","2,761.3"
Eagles,"7,066.7",2.861,"7,066.7","7,066.7"
Ana Castela,"7,066.3",4.908,"2,395.7","1,301.9"
H.E.R.,"7,040.5",2.423,"3,605.2","2,084.5"
The Strokes,"7,033.9",2.605,"7,033.9","7,004.2"
Teddy Swims,"7,016.2",9.514,"6,145.9","5,628.8"
