artist,artist_id,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count,labels
Djavan,5rrmaoBXZ7Jcs4Qb77j0YA,3727685.0,"mpb, bossa nova",68.0,artist,"1,774.6",1.143,"1,531.5","1,471.8",54700.0,6.0,3.0,"Luanda Records Brasil Gravadora Ltda, Luanda Records, Sony Music Entertainment Brasil ltda. sob licença exclusiva de Montreux Media Ventures., Sony Music Entertainment Brasil ltda. sob licença exclusiva de Luanda Records., Luanda Edições Musicais, (Djavan) Luanda Edições Musicais Ltda, Sony Music Entertainment Brasil ltda. sob licença exclusiva de Luanda Records Brasil Gravadora Ltda., Som Livre"
Lil Xan,3EXdLajEO02ziZ90P90bSW,2360422.0,cloud rap,52.0,artist,"1,389.5",0.114,"1,156.0",985.3,9615287.0,20.0,17.0,"DJ Kid Millionaire Ltd, Nicholas Diego Leanos, Xanarchy Militia Music Inc., Xanarcy Militia Music, No Rulez Records, Xanarchy Militia Music, Columbia Records, a Division of Sony Music Entertainment"
Yung Lean,67lytN32YpUxiSeWlKfHJ3,1155982.0,cloud rap,66.0,artist,"1,734.7",0.791,"1,477.0","1,223.7",5222323.0,15.0,10.0,"World Affairs under exclusive license to AWAL Recordings America, Inc., YEAR0001, World Affairs"
Bonobo,0cmWgDlu9CwTgxPhf403hb,1469473.0,"trip hop, downtempo, nu jazz, electronic",62.0,artist,"1,771.7",0.432,"1,690.8","1,093.2",122212.0,6.0,0.0,"fabric Records, Night Time Stories Ltd., Ninja Tune, Cartoon Network, Inc., under exclusive license to Milan Records, a label of Sony Music Entertainment"
Leto,5BuWpYnKO5UvKRsppHME2o,89.0,nan,1.0,artist,"1,770.8",1.025,"1,120.2",530.3,300392.0,6.0,0.0,Bigmaar's Records
Phantogram,1l9d7B8W0IHy3LqWsxP2SH,972262.0,nan,70.0,artist,"1,770.7",1.413,"1,696.3","1,235.4",826655.0,14.0,11.0,"Barsuk Records, Neon Gold / Futures, Republic Records, a division of UMG Recordings, Inc., Republic Records, Inc., Neon Gold / Futures ✦"
Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,1448773.0,"indie folk, folk, indie",63.0,artist,"1,770.7",0.528,"1,684.2","1,681.7",4694265.0,23.0,18.0,"Records Label, LLC / Columbia, Red Hot Org, Verve Label Group, a Division of UMG Recordings, Inc., Fleet Foxes under exclusive license to Nonesuch Records Inc., Fleet Foxes, under exclusive license to Anti"
Lucky Brown,11HepfI1lj6KJHj651rZhM,1073909.0,"reggaeton chileno, chilean mambo, chilean trap, mambo, rkt",73.0,artist,"1,767.6",3.051,"1,060.6",1.4,5541.0,8.0,0.0,"KATTEYES LLC. Distributed and Marketed by Sony Music Entertainment US Latin LLC, Lucky Brown / Stars Music Chile, Distribuido por Virgin Music Chile, Lucky Brown, Stars Music Chile, Distribuido por Virgin Music Chile, Lucky Brown / Stars Music Chile, Distribuido por Virgin Music Chile, pegao company, DALE PLAY Records"
Fito y Fitipaldis,1tZ99AnqyjgrmPwLfGU5eo,2392781.0,nan,68.0,artist,"1,767.2",0.952,"1,635.1","1,572.1",53309.0,15.0,0.0,"Dro Atlantic, S.A., Warner Music Spain, S.A., Warner Music Spain, S.A., Warner Music Spain, S.L., Dro East West, S.A."
Frankie Ruiz,4dLvccxeQIM5u80Ri0u9OV,2306197.0,"salsa, merengue",69.0,artist,"1,766.9",1.504,"1,762.1","1,760.9",80850.0,17.0,11.0,"flyMusic Producciones, th hits, Mystica Music, TH Son Records, Frankie Ruiz, UMG Recordings, Inc."
Abhijeet,2ZRrPOjBIWoKK5rHedLijj,5972015.0,"bollywood, hindi pop",70.0,artist,"1,766.9",1.822,"1,315.6",768.4,262865.0,11.0,3.0,"Universal Music India Pvt. Ltd., Sony Music Entertainment India Pvt. Ltd., Saregama India Ltd, Ultra Media & Entertainment Pvt. Ltd., Sandhya Praniket Musical, Saregama"
Eddie Santiago,5Wg6XnPTp0xXxFCjywwR9I,2677009.0,"salsa, merengue",68.0,artist,"1,764.8",1.252,"1,754.8","1,754.8",119196.0,15.0,5.0,"Luis Angel Marquez, Rada Records S.A. DE C.V., J&N Records, Revolt Music, under exclusive license to Disetti Music, Conjunto Chaney, under exclusive license to Disetti Music, Musicat, Inc., UMG Recordings, Inc., Musical Productions, J&N Records, LLC"
