artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
The Temptations,3288703.0,"motown, classic soul, soul",65.0,artist,"2,441.7",0.643,"2,385.2","2,377.8",593178.0,4.0,4.0
Kina Grannis,524947.0,acoustic pop,58.0,artist,"1,511.1",0.256,"1,030.6","1,011.3",121035.0,2.0,2.0
Blxst,577889.0,nan,65.0,artist,"2,431.5",0.82,"1,227.9",439.6,163899.0,4.0,4.0
Pink Sweat$,1862784.0,nan,61.0,artist,"2,426.5",0.433,"2,198.4","1,897.6",1307800.0,8.0,8.0
Vacations,1492446.0,nan,69.0,artist,"2,421.5",1.347,"2,418.9","2,414.8",237823.0,3.0,3.0
Rkomi,1435659.0,italian trap,65.0,artist,"2,421.3",0.742,"1,568.3",581.1,710594.0,4.0,4.0
Descemer Bueno,99709.0,latin,65.0,artist,"2,411.7",0.671,73.2,3.8,26251.0,1.0,1.0
Tz da Coronel,3653579.0,"brazilian trap, trap funk, trap, brazilian hip hop, choral",69.0,artist,"2,406.8",1.376,"1,231.3",120.1,0.0,1.0,1.0
The All-American Rejects,3139176.0,"pop punk, emo",68.0,artist,"2,406.2",1.075,"2,406.2","2,406.2",2168074.0,15.0,15.0
The Doobie Brothers,2857775.0,"yacht rock, classic rock, soft rock, southern rock",68.0,artist,"2,404.2",1.312,"2,404.2","2,383.0",80582.0,1.0,1.0
AUDREY NUNA,521811.0,nan,87.0,artist,"2,403.5",12.714,163.7,108.7,142086.0,7.0,7.0
Brantley Gilbert,3029913.0,"country, country rock, country hip hop, acoustic country",64.0,artist,"2,403.4",0.553,"2,204.2","1,756.7",143447.0,7.0,7.0
Night Lovell,1520428.0,"emo rap, horrorcore, trap metal",65.0,artist,"2,402.2",0.672,"2,010.5","1,678.9",1841154.0,9.0,9.0
Brad Paisley,2901233.0,country,65.0,artist,"2,397.8",0.699,"2,250.0","1,658.3",42699.0,1.0,1.0
Brett Young,1252797.0,country,64.0,artist,"2,396.6",0.653,"2,234.7","2,173.1",486904.0,9.0,9.0
Keyshia Cole,4343795.0,r&b,70.0,artist,"2,394.7",1.691,"1,916.0","1,282.9",1704884.0,10.0,10.0
Cults,1262605.0,nan,67.0,artist,"2,390.6",0.924,"1,628.6","1,626.2",582700.0,8.0,8.0
Isabel LaRosa,2582728.0,nan,71.0,artist,"2,389.4",1.753,"2,389.4","2,384.8",409980.0,4.0,4.0
Damian Marley,1872686.0,"reggae, ragga, roots reggae",67.0,artist,"2,387.0",1.035,"1,337.4",763.8,498926.0,2.0,2.0
Chris Tomlin,2165710.0,"christian, worship, ccm, pop worship, christian country",69.0,artist,"2,385.6",1.297,"2,052.7","1,727.5",453983.0,2.0,2.0
Ramin Djawadi,719560.0,soundtrack,66.0,artist,"2,380.2",0.656,"2,378.0","2,196.5",26474.0,3.0,3.0
Darius Rucker,2779015.0,country,66.0,artist,"2,377.9",0.903,"2,197.7","2,141.1",406194.0,6.0,6.0
Jamiroquai,2761599.0,acid jazz,70.0,artist,"2,375.2",1.4,"2,358.6","2,250.8",631559.0,8.0,8.0
Sam Cooke,1868099.0,"motown, soul, classic soul",66.0,artist,"2,369.2",0.822,"2,342.8","2,313.6",2144197.0,9.0,9.0
Jimmy Eat World,1804000.0,"emo, pop punk",66.0,artist,"2,368.4",0.625,"2,368.4","2,335.1",1240753.0,9.0,9.0
John Martin,97437.0,nan,66.0,artist,"2,368.3",0.825,60.4,43.4,5029.0,1.0,1.0
Godsmack,3694195.0,"alternative metal, nu metal, hard rock, rap metal, metal",67.0,artist,"2,361.2",0.924,"2,351.6","2,351.6",385035.0,10.0,10.0
Survivor,1410401.0,nan,67.0,artist,"2,359.5",0.969,"2,359.5","2,359.5",3311649.0,7.0,7.0
Surf Curse,1753502.0,indie,68.0,artist,"2,346.1",1.156,"2,346.1","2,326.9",694272.0,2.0,2.0
Keri Hilson,2143412.0,nan,69.0,artist,"2,345.7",1.437,862.9,357.7,486939.0,3.0,3.0
Ludwig van Beethoven,5724303.0,"classical, classical piano, chamber music",71.0,artist,"2,338.9",1.018,"2,238.7",nan,137934.0,2.0,2.0
Crystal Castles,3304437.0,"witch house, electroclash, new rave, alternative dance",70.0,artist,"2,338.5",1.559,"2,193.7","1,841.0",1089627.0,9.0,9.0
Riton,161424.0,house,62.0,artist,"2,231.6",0.351,"2,163.5",nan,613296.0,8.0,8.0
Kid Rock,21114811.0,"k-pop, noise music",84.0,artist,"2,331.8",0.683,"2,085.9","1,787.2",555973.0,2.0,2.0
Billy Ray Cyrus,307901.0,nan,61.0,artist,"2,329.6",0.496,307.1,278.2,182572.0,2.0,2.0
Leo Dan,4307215.0,"ranchera, bolero, mariachi",70.0,artist,"2,329.4",1.543,"2,322.8","1,620.8",17895.0,3.0,3.0
